subject,06,07,08,09,10,11,12,13,14,15,16,17,18
01,no-pi-[passes-check],**PI**-[passes-check],no-pi,no-pi,**PI**,no-pi-[passes-check],no-pi,**PI**,**PI**,no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],NO-FILE,
02,**PI**-[passes-check],no-pi-[passes-check],**PI**,**PI**-[passes-check],no-pi,**PI**,**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],no-pi,**PI**-[passes-check],NO-FILE,
03,**PI**-[passes-check],**PI**-[passes-check],no-pi,no-pi,no-pi,no-pi,no-pi-[passes-check],no-pi-[passes-check],**PI**,**PI**-[passes-check],no-pi,**PI**-[passes-check],NO-FILE,
04,**PI**-[passes-check],**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**-[passes-check],no-pi,no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],NO-FILE,
05,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,
06,**PI**-[passes-check],**PI**,no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],NO-FILE,
07,**PI**-[passes-check],**PI**,**PI**,**PI**,**PI**,**PI**,**PI**-[passes-check],**PI**-[passes-check],**PI**,**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],NO-FILE,
08,**PI**-[passes-check],**PI**-[passes-check],**PI**,**PI**,no-pi-[passes-check],**PI**,**PI**-[passes-check],**PI**-[passes-check],**PI**,**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,
09,no-pi-[passes-check],no-pi-[passes-check],no-pi,**PI**-[passes-check],no-pi,**PI**,no-pi,no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],NO-FILE,
10,no-pi-[passes-check],**PI**,no-pi,**PI**,no-pi,no-pi,no-pi-[passes-check],no-pi,**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],NO-FILE,
11,**PI**-[passes-check],**PI**,no-pi,no-pi,no-pi-[passes-check],no-pi,no-pi-[passes-check],no-pi-[passes-check],no-pi,**PI**,no-pi-[passes-check],**PI**-[passes-check],NO-FILE,
12,**PI**-[passes-check],**PI**,**PI**,no-pi,no-pi-[passes-check],**PI**-[passes-check],**PI**-[passes-check],no-pi,no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],no-pi,NO-FILE,
13,no-pi-[passes-check],**PI**-[passes-check],no-pi,no-pi,**PI**-[passes-check],no-pi-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi,no-pi-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,
14,no-pi-[passes-check],**PI**,**PI**,no-pi,no-pi,**PI**,no-pi-[passes-check],**PI**,**PI**-[passes-check],**PI**-[passes-check],no-pi-[passes-check],no-pi-[passes-check],NO-FILE,
15,no-pi-[passes-check],no-pi-[passes-check],**PI**-[passes-check],no-pi,**PI**-[passes-check],**PI**-[passes-check],**PI**-[passes-check],**PI**,no-pi,**PI**-[passes-check],**PI**,no-pi-[passes-check],NO-FILE,
16,**PI**-[passes-check],no-pi-[passes-check],no-pi,no-pi,no-pi,**PI**-[passes-check],no-pi,**PI**-[passes-check],**PI**-[passes-check],**PI**,NO-FILE-[passes-check],NO-FILE-[passes-check],NO-FILE,
